Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Flow IAT Mean,Fwd IAT Mean,Fwd Header Length,Flow IAT Std,Flow Bytes/s,Label
113998.1746673584,12,0,9182,0,1404,20,765.1666666666666,10363.47042430531,10363.47042430531,240,27552.447702062706,80545.14931307161,0
425240.9934997559,55,0,69024,0,1472,20,1254.9818181818182,7874.833212958441,7874.833212958441,1100,31987.742694216577,162317.3707500042,0
731282.2341918945,8,0,369,0,101,20,46.125,104468.89059884207,104468.89059884207,160,120189.74438668924,504.5931416722634,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,68,0,68,68,68.0,0.0,0.0,8,0.0,68000000.0,0
1007075.7865905762,1578,0,31560,0,20,20,20.0,638.6022743123501,638.6022743123501,31560,1050.2718413823836,31338.25718007321,1
771608.3526611328,59,0,2131,0,971,20,36.11864406779661,13303.59228726091,13303.59228726091,1180,52316.68036770717,2761.763779060426,0
508447.40867614746,7,0,1757,0,1124,20,251.0,84741.23477935791,84741.23477935791,140,141006.99068725176,3455.6179656313493,0
798218.9655303955,38,0,5311,0,1472,20,139.76315789473685,21573.485554875555,21573.485554875555,760,68943.94676222115,6653.562780822904,0
329351.66358947754,6,0,1654,0,1070,20,275.6666666666667,65870.33271789551,65870.33271789551,120,116984.5598555199,5021.987689309622,0
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
707403.4214019775,7,0,736,0,550,20,105.14285714285714,117900.57023366292,117900.57023366292,140,169174.56409879756,1040.4247106146984,0
1005563.259124756,1445,0,28900,0,20,20,20.0,696.3734481473379,696.3734481473379,28900,3039.409816148484,28740.11131348873,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
61012.26806640625,10,0,8398,0,1404,20,839.8,6779.140896267361,6779.140896267361,200,19595.605977927466,137644.44866825058,0
856322.7653503418,14,0,4829,0,1472,20,344.92857142857144,65870.9819500263,65870.9819500263,292,153823.7466568742,5639.228799463649,1
276593.6851501465,2,0,79,0,59,20,39.5,276593.6851501465,276593.6851501465,40,0.0,285.61751132212413,1
1001.596450805664,4,0,3458,0,1404,199,864.5,333.865483601888,333.865483601888,80,578.2719804920239,3452488.2723161154,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
892163.0382537842,22,0,21830,0,1472,20,992.2727272727273,42483.95420256115,42483.95420256115,440,100356.88484345426,24468.62183702151,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
123546.83876037598,4,0,953,0,537,20,238.25,41182.27958679199,41182.27958679199,92,35672.86459790429,7713.673693006273,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,4,0,3955,0,1404,59,988.75,0.0,0.0,80,0.0,3955000000.0,0
257673.7403869629,6,0,4504,0,1472,20,750.6666666666666,51534.74807739258,51534.74807739258,132,114151.538445103,17479.46838989528,1
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0,1
830661.0584259033,10,0,537,0,101,20,53.7,92295.6731584337,92295.6731584337,200,126366.62422128716,646.4730644983058,0
179562.33024597168,10,0,2864,0,1352,20,286.4,19951.370027330187,19951.370027330187,200,36180.893079792295,15949.893254764393,0
511275.5298614502,20,0,1163,0,486,20,58.15,26909.238413760537,26909.238413760537,400,75739.39555713622,2274.703035983669,0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
873495.5787658691,21,0,22362,0,1472,20,1064.857142857143,43674.77893829346,43674.77893829346,420,98111.79780308213,25600.58750565684,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
646091.4611816406,10,0,1900,0,1053,20,190.0,71787.9401312934,71787.9401312934,224,145547.10972018467,2940.760115487486,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
294577.12173461914,2,0,79,0,59,20,39.5,294577.12173461914,294577.12173461914,40,0.0,268.1810438462024,0
740709.3048095703,8,0,1247,0,1041,20,155.875,105815.61497279577,105815.61497279577,160,97574.66051068562,1683.5214461368114,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0,0
70000.41007995605,5,0,2202,0,1020,20,440.4,17500.102519989014,17500.102519989014,100,22456.017330064184,31456.958573311585,0
831512.2127532959,23,0,17077,0,1472,20,742.4782608695652,37796.00967060436,37796.00967060436,472,93137.90402339368,20537.281038187983,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
842031.2404632568,22,0,1118,0,485,20,50.81818181818182,40096.725736345565,40096.725736345565,440,92656.91112784228,1327.7417110853448,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1001693.2487487792,3015,0,60300,0,20,20,20.0,332.3467978595817,332.3467978595817,60300,530.3985979729138,60198.06969381202,1
868620.6340789795,10,0,2159,0,975,20,215.9,96513.40378655327,96513.40378655327,200,106623.6460680406,2485.549980388438,0
516622.78175354,14,0,15386,0,1472,20,1099.0,39740.21398104154,39740.21398104154,292,96347.64531002103,29781.88446854061,0
1005213.2606506348,1177,0,23540,0,20,20,20.0,854.7731808253696,854.7731808253696,23540,3904.72597650302,23417.91629844148,1
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
267720.93772888184,2,0,79,0,59,20,39.5,267720.93772888184,267720.93772888184,40,0.0,295.0833829814329,1
275053.0242919922,8,0,439,0,101,20,54.875,39293.28918457031,39293.28918457031,160,83207.02109607414,1596.055891877648,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
15221.357345581057,3,0,84,0,44,20,28.0,7610.678672790527,7610.678672790527,60,9322.714303215716,5518.561721723603,0
1.0,3,0,2569,0,1472,114,856.3333333333334,0.0,0.0,60,0.0,2569000000.0,0
633509.635925293,10,0,479,0,101,20,47.9,70389.95954725478,70389.95954725478,200,91300.84738700978,756.105310537828,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,1
1.0,2,0,64,0,44,20,32.0,0.0,0.0,40,0.0,64000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
751829.8625946045,67,0,1340,0,20,20,20.0,11391.361554463703,11391.361554463703,1340,45567.92078135907,1782.318136946023,0
254021.40617370603,4,0,1035,0,975,20,258.75,84673.80205790202,84673.80205790202,80,144927.40196448768,4074.459769316613,1
311960.22033691406,6,0,1352,0,768,20,225.33333333333331,62392.04406738281,62392.04406738281,120,112198.88862822283,4333.88589910551,0
668286.8003845215,8,0,369,0,101,20,46.125,95469.5429120745,95469.5429120745,160,116507.8009945763,552.1581449576489,1
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
529948.2345581055,9,0,2011,0,848,20,223.44444444444449,66243.52931976318,66243.52931976318,180,101463.28501940065,3794.710254439968,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
803078.8898468018,23,0,21790,0,1472,20,947.391304347826,36503.58590212735,36503.58590212735,460,76557.24959640788,27133.07531238524,0
734436.7504119873,7,0,1287,0,653,20,183.8571428571429,122406.12506866457,122406.12506866457,140,125853.75933691396,1752.3632896611568,0
562049.6273040771,5,0,1701,0,1472,20,340.2,140512.4068260193,140512.4068260193,100,161712.63699766473,3026.423143733772,0
268126.2493133545,5,0,309,0,101,20,61.8,67031.56232833862,67031.56232833862,100,123446.0782061344,1152.4421827080312,0
581612.8253936768,23,0,1293,0,486,20,56.21739130434783,26436.94660880349,26436.94660880349,460,56184.79069891012,2223.128417302019,0
420988.0828857422,5,0,880,0,769,20,176.0,105247.02072143556,105247.02072143556,100,107703.6772143971,2090.320452702305,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
864277.3628234863,22,0,21476,0,1472,20,976.181818181818,41156.06489635649,41156.06489635649,440,82116.31863521955,24848.504570153946,0
2928.495407104492,2,0,64,0,32,32,32.0,2928.495407104492,2928.495407104492,64,0.0,21854.225840592688,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
767345.666885376,4,0,300,0,101,20,75.0,255781.888961792,255781.888961792,80,185092.4555879077,390.9580948279639,0
61763.52500915527,6,0,1477,0,1348,20,246.16666666666663,12352.705001831057,12352.705001831057,120,27621.4880900959,23913.790538688696,0
764675.3787994385,36,0,44866,0,1472,20,1246.2777777777778,21847.86796569824,21847.86796569824,732,71330.53406503715,58673.26351011963,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
604115.7245635986,19,0,847,0,487,20,44.578947368421055,33561.9846979777,33561.9846979777,380,86624.54412273286,1402.0492524207282,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
749015.0928497314,3,0,1377,0,1306,20,459.0,374507.5464248657,374507.5464248657,60,529633.6513651166,1838.4142230846287,0
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0,0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
283298.0155944824,7,0,5508,0,1456,20,786.8571428571429,47216.335932413735,47216.335932413735,140,115655.93055825226,19442.423514481103,0
742778.0628204346,9,0,2293,0,1128,20,254.77777777777777,92847.25785255432,92847.25785255432,180,127369.72406522794,3087.0593987296165,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
274380.9223175049,5,0,262,0,101,20,52.4,68595.23057937622,68595.23057937622,100,137190.46115875244,954.876883520429,0
988894.7010040284,5,0,320,0,101,20,64.0,247223.67525100708,247223.67525100708,100,221559.7506712823,323.5936037225226,0
843921.422958374,10,0,479,0,101,20,47.9,93769.0469953749,93769.0469953749,200,128934.47289512889,567.5883879341056,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
758006.8111419678,2,0,40,0,20,20,20.0,758006.8111419678,758006.8111419678,40,0.0,52.76997437495105,1
1.0,1,0,56,0,56,56,56.0,0.0,0.0,8,0.0,56000000.0,0
1.0,2,0,40,0,20,20,20.0,0.0,0.0,40,0.0,40000000.0,0
525070.9056854248,6,0,1611,0,996,20,268.5,105014.18113708496,105014.18113708496,120,180445.2209941528,3068.157048040986,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1002312.6602172852,3114,0,62280,0,20,20,20.0,321.9764408022117,321.9764408022117,62280,831.8003071301638,62136.29985128463,1
962556.8389892578,41,0,43291,0,1472,20,1055.878048780488,24063.920974731445,24063.920974731445,832,70439.12436384607,44975.00640633143,0
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0,0
630666.971206665,65,0,65061,0,1472,20,1000.9384615384616,9854.17142510414,9854.17142510414,1300,30361.52483802561,103162.2123408774,1
1002630.7106018066,1319,0,26380,0,20,20,20.0,760.7213282259535,760.7213282259535,26380,4498.060248431042,26310.78394174261,1
477373.3615875244,6,0,722,0,552,20,120.33333333333331,95474.67231750488,95474.67231750488,120,122702.06776757864,1512.443001844426,0
854310.7509613037,23,0,21795,0,1472,20,947.608695652174,38832.30686187744,38832.30686187744,460,72491.78083853243,25511.7941281617,0
800220.4895019531,28,0,976,0,245,20,34.857142857142854,29637.795907479744,29637.795907479744,572,75085.93641574128,1219.663846157513,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1012064.9337768556,1259,0,25180,0,20,20,20.0,804.5031270086291,804.5031270086291,25180,1261.203673495957,24879.8265404103,1
347478.15132141113,20,0,21792,0,1472,20,1089.6,18288.32375375848,18288.32375375848,400,55632.66986529206,62714.73448655132,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
738133.1920623779,7,0,1989,0,863,20,284.1428571428572,123022.198677063,123022.198677063,140,172237.31225046617,2694.6356313318506,1
282230.6156158447,2,0,79,0,59,20,39.5,282230.6156158447,282230.6156158447,40,0.0,279.9129351279523,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
219549.8943328857,4,0,548,0,488,20,137.0,73183.29811096191,73183.29811096191,80,126757.19059364549,2496.015776573829,1
59640.16914367676,3,0,123,0,59,20,41.0,29820.08457183838,29820.08457183838,60,40768.983739375886,2062.368396435724,0
266753.9119720459,2,0,52,0,32,20,26.0,266753.9119720459,266753.9119720459,52,0.0,194.9362227364421,1
136548.7575531006,8,0,1142,0,790,20,142.75,19506.96536472865,19506.96536472865,160,29084.257295187323,8363.313006022066,0
361442.8043365479,8,0,2241,0,1420,20,280.125,51634.68633379255,51634.68633379255,160,99406.5163016909,6200.1510975256615,0
275750.1602172852,7,0,419,0,101,20,59.85714285714285,45958.3600362142,45958.3600362142,140,88925.71327318352,1519.4914108838127,0
998995.7809448242,1321,0,26420,0,20,20,20.0,756.8149855642607,756.8149855642607,26420,2334.163721649456,26446.55813762562,1
838397.741317749,27,0,956,0,245,20,35.407407407407405,32246.066973759574,32246.066973759574,552,78892.67102702131,1140.270247504973,0
696913.7191772461,66,0,83223,0,1472,20,1260.9545454545455,10721.749525803783,10721.749525803783,1320,39464.86863191232,119416.5040950125,0
1004750.4901885986,2694,0,53880,0,20,20,20.0,373.097099958633,373.097099958633,53880,631.1698682897437,53625.25375816075,1
673900.842666626,24,0,1129,0,488,20,47.04166666666666,29300.03663767939,29300.03663767939,480,82520.59106693671,1675.3206533064215,0
736625.4329681396,8,0,369,0,101,20,46.125,105232.20470973424,105232.20470973424,160,120004.65515341556,500.933016272817,0
741242.4087524414,71,0,84329,0,1472,20,1187.7323943661972,10589.17726789202,10589.17726789202,1420,37356.72411115574,113767.10102425348,0
1014192.8195953368,66,0,7535,0,1472,20,114.16666666666669,15602.966455312877,15602.966455312877,1332,47085.272452605255,7429.553684876675,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
269570.35064697266,3,0,84,0,44,20,28.0,134785.17532348633,134785.17532348633,60,190615.0229493098,311.60696938071567,0
774735.9275817871,5,0,884,0,773,20,176.8,193683.9818954468,193683.9818954468,100,195843.43016969957,1141.0339556076392,0
651410.3412628174,7,0,1313,0,678,20,187.57142857142856,108568.39021046956,108568.39021046956,140,122479.11585773696,2015.626582554142,0
232788.0859375,25,0,535,0,55,20,21.4,9699.503580729166,9699.503580729166,500,33695.33179651817,2298.227582590456,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
756570.1007843018,6,0,329,0,101,20,54.833333333333336,151314.02015686035,151314.02015686035,120,119392.3836672626,434.85725864522095,0
727051.0196685791,17,0,3022,0,863,20,177.76470588235293,45440.688729286194,45440.688729286194,340,91268.31178793075,4156.517105742533,0
792169.0940856934,10,0,5146,0,1472,20,514.6,88018.7882317437,88018.7882317437,200,130043.984686171,6496.087815618983,0
171889.5435333252,6,0,1088,0,813,20,181.33333333333331,34377.90870666504,34377.90870666504,120,60133.38701641262,6329.646223006365,0
375051.0215759277,3,0,747,0,676,20,249.0,187525.51078796387,187525.51078796387,60,264329.86099486344,1991.7290102588684,1
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
697004.5566558838,7,0,1595,0,960,20,227.8571428571429,116167.42610931396,116167.42610931396,140,139776.74446301284,2288.3638059018645,0
203847.16987609863,2,0,79,0,59,20,39.5,203847.16987609863,203847.16987609863,40,0.0,387.54523817042633,0
655953.4072875977,8,0,2878,0,1460,20,359.75,93707.62961251396,93707.62961251396,160,153446.31166149097,4387.506746707337,0
720396.7571258545,7,0,1290,0,653,20,184.28571428571428,120066.1261876424,120066.1261876424,140,147420.17865048224,1790.6799097023627,1
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
617978.8112640381,14,0,687,0,101,20,49.07142857142857,47536.83163569524,47536.83163569524,280,79849.29329146317,1111.6886007706046,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
638934.850692749,93,0,126122,0,1472,51,1356.1505376344087,6944.944029269012,6944.944029269012,1860,54346.62826476128,197394.14724874595,0
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0,0
604756.3552856445,10,0,479,0,101,20,47.9,67195.15058729384,67195.15058729384,200,87862.89650307059,792.0545122237764,0
276644.7067260742,2,0,121,0,101,20,60.5,276644.7067260742,276644.7067260742,40,0.0,437.38411420179744,1
517095.5657958984,8,0,4723,0,1472,20,590.375,73870.79511369977,73870.79511369977,172,126161.67318710352,9133.70818164046,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
40984.6305847168,3,0,84,0,44,20,28.0,20492.3152923584,20492.3152923584,60,24738.51420195436,2049.548789426534,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
710756.5402984619,8,0,369,0,101,20,46.125,101536.64861406598,101536.64861406598,160,118800.84973850762,519.1651136197058,0
461293.22052001953,7,0,349,0,101,20,49.85714285714285,76882.20342000325,76882.20342000325,140,77049.19290890454,756.5686736227545,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
790984.3921661377,69,0,97786,0,1472,20,1417.1884057971015,11632.123414207908,11632.123414207908,1380,49705.12042524228,123625.70104855004,0
489919.1856384277,24,0,1420,0,485,20,59.16666666666666,21300.83415819251,21300.83415819251,480,46491.25564262572,2898.4372150063023,1
987750.2918243408,38,0,3439,0,487,20,90.5,26695.95383309029,26695.95383309029,760,43747.52899900407,3481.649186504704,0
546704.7691345215,5,0,251,0,101,20,50.2,136676.19228363037,136676.19228363037,100,133089.0016789352,459.1143413607926,0
99421.26274108888,12,0,1172,0,861,20,97.66666666666669,9038.29661282626,9038.29661282626,240,18767.236113708816,11788.222837725389,0
222948.3127593994,4,0,547,0,487,20,136.75,74316.10425313313,74316.10425313313,80,128719.26838701214,2453.4834699121925,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
713769.6743011475,33,0,40767,0,1472,20,1235.3636363636365,22305.302321910855,22305.302321910855,660,87002.13720230569,57115.06311880651,0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
590207.3383331299,8,0,2254,0,795,20,281.75,84315.33404758999,84315.33404758999,160,105982.79235451824,3818.9969077066576,0
550254.8217773438,7,0,1382,0,744,20,197.42857142857144,91709.13696289062,91709.13696289062,140,96081.84800266492,2511.56363434688,0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
1022202.0149230956,69,0,85962,0,1472,20,1245.8260869565215,15032.382572398466,15032.382572398466,1392,55732.40460964906,84094.92325885041,0
822978.7349700928,7,0,1359,0,725,20,194.14285714285717,137163.12249501547,137163.12249501547,140,143010.8556389149,1651.3184876513078,1
513802.52838134766,5,0,516,0,245,20,103.2,128450.63209533691,128450.63209533691,112,148340.64537939208,1004.2768797296018,0
1017249.1073608398,1922,0,38440,0,20,20,20.0,529.5414405834669,529.5414405834669,38440,1629.2524591178926,37788.18749689452,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
654697.6566314697,7,0,1654,0,972,20,236.28571428571428,109116.27610524496,109116.27610524496,140,102681.61446140718,2526.356988216683,0
906436.9201660156,6,0,589,0,423,20,98.16666666666669,181287.38403320312,181287.38403320312,120,213420.3523171084,649.797009473228,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
24934.053421020508,3,0,60,0,20,20,20.0,12467.026710510254,12467.026710510254,60,17631.038256471234,2406.3476157236973,0
361939.6686553955,6,0,1273,0,655,20,212.16666666666663,72387.9337310791,72387.9337310791,120,102383.37344477836,3517.1607597730035,0
712030.1723480225,9,0,2123,0,758,20,235.88888888888889,89003.77154350281,89003.77154350281,180,120919.08679933222,2981.615221443637,1
550333.9767456055,13,0,4823,0,1472,20,371.0,45861.16472880045,45861.16472880045,272,96006.1496090293,8763.76928155656,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
